year,team,rs_wins,rs_losses,rs_ties,rs_win_perc,rs_points_scored,rs_points_against,rs_points_differential,rs_margin_of_victory,strength_of_schedule,simple_rating_system,off_simple_rating_system,def_simple_rating_system,playoffs,super_bowl
2022,New York Giants,9,7,1,0.559,365,371,-6,-0.4,0,-0.4,-0.8,0.4,1,0
2022,Washington Commanders,8,8,1,0.5,321,343,-22,-1.3,0.4,-0.9,-3.5,2.6,0,0
2022,Minnesota Vikings,13,4,0,0.765,424,427,-3,-0.2,0.1,-0.1,2.8,-2.9,1,0
2022,Detroit Lions,9,8,0,0.529,453,427,26,1.5,0.7,2.2,4.7,-2.4,0,0
2022,Green Bay Packers,8,9,0,0.471,370,371,-1,-0.1,0.4,0.3,-0.3,0.6,0,0
2022,Chicago Bears,3,14,0,0.176,326,463,-137,-8.1,1.6,-6.4,-2.5,-4,0,0
2022,Tampa Bay Buccaneers,8,9,0,0.471,313,358,-45,-2.6,0.4,-2.3,-3.3,1.1,1,0
2022,Carolina Panthers,7,10,0,0.412,347,374,-27,-1.6,-0.6,-2.2,-1.3,-0.9,0,0
2022,New Orleans Saints,7,10,0,0.412,330,345,-15,-0.9,-0.3,-1.2,-2.8,1.7,0,0
2022,Atlanta Falcons,7,10,0,0.412,365,386,-21,-1.2,-0.9,-2.1,-0.1,-2,0,0
2022,San Francisco ers,13,4,0,0.765,450,277,173,10.2,-2.3,7.9,3.3,4.6,0,0
2022,Seattle Seahawks,9,8,0,0.529,407,401,6,0.4,-0.8,-0.5,1.9,-2.4,1,0
2022,Los Angeles Rams,5,12,0,0.294,307,384,-77,-4.5,0.5,-4,-4.1,0,0,1
2022,Arizona Cardinals,4,13,0,0.235,340,449,-109,-6.4,0.2,-6.2,-1.9,-4.3,0,0
2021,Buffalo Bills,11,6,0,0.647,483,289,194,11.4,-1.6,9.8,5,4.8,1,0
2021,New England Patriots,10,7,0,0.588,462,303,159,9.4,-0.9,8.5,3.6,4.8,1,0
2021,Miami Dolphins,9,8,0,0.529,341,373,-32,-1.9,-0.8,-2.7,-3.1,0.3,0,0
2021,New York Jets,4,13,0,0.235,310,504,-194,-11.4,1,-10.4,-3.6,-6.7,0,0
2021,Cincinnati Bengals,10,7,0,0.588,460,376,84,4.9,-1.9,3.1,3.4,-0.3,1,0
2021,Pittsburgh Steelers,9,7,1,0.559,343,398,-55,-3.2,0.8,-2.5,-2.6,0.1,1,0
2021,Cleveland Browns,8,9,0,0.471,349,371,-22,-1.3,0,-1.3,-2.7,1.3,0,0
2021,Baltimore Ravens,8,9,0,0.471,387,392,-5,-0.3,0,-0.3,-0.3,0,0,0
2021,Tennessee Titans,12,5,0,0.706,419,354,65,3.8,-0.4,3.4,1.8,1.6,1,0
2021,Indianapolis Colts,9,8,0,0.529,451,365,86,5.1,-0.6,4.4,3.3,1.1,0,0
2021,Houston Texans,4,13,0,0.235,280,452,-172,-10.1,0.4,-9.7,-6.3,-3.4,0,0
2021,Jacksonville Jaguars,3,14,0,0.176,253,457,-204,-12,0.6,-11.4,-7.7,-3.7,0,0
2021,Kansas City Chiefs,12,5,0,0.706,480,364,116,6.8,0.6,7.4,5.4,2,1,0
2021,Las Vegas Raiders,10,7,0,0.588,374,439,-65,-3.8,0.6,-3.3,-0.7,-2.6,1,0
2021,Los Angeles Chargers,9,8,0,0.529,474,459,15,0.9,0.2,1.1,5.3,-4.2,0,0
2021,Denver Broncos,7,10,0,0.412,335,322,13,0.8,-1.3,-0.5,-4.7,4.2,0,0
2021,Dallas Cowboys,12,5,0,0.706,530,358,172,10.1,-0.2,9.9,8.2,1.7,1,0
2021,Philadelphia Eagles,9,8,0,0.529,444,385,59,3.5,-1,2.5,2.6,-0.1,1,0
2021,Washington Football Team,7,10,0,0.412,335,434,-99,-5.8,1.6,-4.2,-2.7,-1.5,0,0
2021,New York Giants,4,13,0,0.235,258,416,-158,-9.3,1,-8.3,-7.7,-0.6,0,0
2021,Green Bay Packers,13,4,0,0.765,450,371,79,4.6,-0.2,4.4,3.5,1,1,0
2021,Minnesota Vikings,8,9,0,0.471,425,426,-1,-0.1,0.3,0.3,1.9,-1.6,0,0
2021,Chicago Bears,6,11,0,0.353,311,407,-96,-5.6,0.5,-5.2,-4.9,-0.3,0,0
2021,Detroit Lions,3,13,1,0.206,325,467,-142,-8.4,0.6,-7.8,-3.5,-4.3,0,0
2021,Tampa Bay Buccaneers,13,4,0,0.765,511,353,158,9.3,-0.7,8.6,7.3,1.3,1,0
2021,New Orleans Saints,9,8,0,0.529,364,335,29,1.7,0.3,2,-1.5,3.6,0,0
2021,Atlanta Falcons,7,10,0,0.412,313,459,-146,-8.6,0.1,-8.5,-4.2,-4.3,0,0
2021,Carolina Panthers,5,12,0,0.294,304,404,-100,-5.9,0.4,-5.5,-5,-0.5,0,0
2021,Los Angeles Rams,12,5,0,0.706,460,372,88,5.2,0.1,5.3,4.2,1.1,1,0
2021,Arizona Cardinals,11,6,0,0.647,449,366,83,4.9,0.3,5.2,3.6,1.6,1,0
2021,San Francisco ers,10,7,0,0.588,427,365,62,3.6,0.1,3.8,1.8,1.9,0,0
2021,Seattle Seahawks,7,10,0,0.412,395,366,29,1.7,0.2,1.9,0.4,1.5,0,0
